25ns master table: /dev/CMSSW_7_4_0/HLT/V361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lien Steam Gdoc,,,,,,Lien Steam Gdoc,,,,,,,,,,,,
,,,,,,,L1 prescales,,,,,,,,,,,,HLT prescales,,,,,,,,,,,,Total prescale,,,,,,,,,,,,,,,/frozen/2015/25ns14e33/v3.0/HLT/V1 ,,,,,,/dev/CMSSW_7_4_0/GRun/V106,,,,,,,,,,,,
HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2,"Higgs, SMP","25ns, 50ns,",yes,"CMSHLT-213 (only for 7e33), mod CMSHLT-331",L1_Mu12_EG10,,  262 139,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0,±,0,Hz,,ms,3.5,±,0.28,Hz,,"group : HIG, type : signal, description : muon-electron path with isolation, designed for H->WW and H->ZZ*->2e2mu",,,,,,,,
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,"Top, Higgs, SMP, B2G","25ns, 50ns,",yes,CMSHLT-162,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,26.25,±,0.67,Hz,,ms,13.5,±,0.47,Hz,,group: Muon,,,,,,,,
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2,"Muons, SMP","25ns, 50ns,",yes,"CMSHLT-64, mod. CMSHLT-86, CMSHLT-162",L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   50,   50,   35,   25,   15,   7,   5,   3,   2,   1,   1,,   50,   50,   35,   25,   15,   7,   5,   3,   2,   1,   1,,,ms,0.64,±,0.04,Hz,,ms,0.33,±,0.05,Hz,,group: Muon,,,,,,,,
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v2,"Top, Higgs, SMP, B2G","25ns, 50ns,",yes,CMSHLT-162,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,25.81,±,0.34,Hz,,ms,13.23,±,0.47,Hz,,group: Muon,,,,,,,,
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_v2,"Muons, SMP","25ns, 50ns,",yes,"CMSHLT-64, mod. CMSHLT-86, CMSHLT-162",L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   50,   50,   35,   25,   15,   7,   5,   3,   2,   1,   1,,   50,   50,   35,   25,   15,   7,   5,   3,   2,   1,   1,,,ms,0.81,±,0.05,Hz,,ms,0.37,±,0.06,Hz,,group: Muon,,,,,,,,
HLT_Mu17_TrkIsoVVL_v2,"SUSY, Higgs, Muons","25ns, 50ns,",yes,"CMSHLT-129, CMSHLT-467",L1_SingleMu12,,  3 000,  1 500,   25,   18,   10,   5,   4,   3,   2,   1,   1,,   60,   60,  2 600,  2 600,  2 600,  2 500,  3 000,  3 000,  3 000,  3 000,  2 000,,  180 000,  90 000,  65 000,  46 800,  26 000,  12 500,  12 000,  9 000,  6 000,  3 000,  2 000,,,ms,2.49,±,0.15,Hz,,ms,12.11,±,0.47,Hz,,group: muon,,,,,,,,
HLT_Mu17_v2,Muons,"25ns, 50ns,",yes,"CMSHLT-293, CMSHLT-467",L1_SingleMu12,,  3 000,  1 500,   25,   18,   10,   5,   4,   3,   2,   1,   1,,   40,   7,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  120 000,  10 500,   25,   18,   10,   5,   4,   3,   2,   1,   1,,,ms,9.4,±,0.26,Hz,,ms,3.1,±,0.35,Hz,,"group : SUSY, type : control, rate: <1 Hz, description : path for fake-ratio measurement, similar to the Mu leg of HLT_DoubleMu8_Mass8_PFHT300 and HLT_Mu8_Ele8_CaloIdM_TrkIdM_Mass8_PFHT300",,,,,,,,
HLT_Mu20_Mu10_DZ_v1,Higgs,"25ns, 50ns,",yes,CMSHLT-406,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   25,   25,   14,   10,   7,   3,   2,   1,   1,   1,   1,,   25,   25,   14,   10,   7,   3,   2,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,0.72,±,0.09,Hz,,group: Higgs,,,,,,,,
HLT_Mu20_Mu10_SameSign_DZ_v1,Higgs,"25ns, 50ns,",yes,CMSHLT-406,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,6.34,±,0.14,Hz,,ms,3.44,±,0.26,Hz,,group: Higgs,,,,,,,,
HLT_Mu20_Mu10_v1,Higgs,"25ns, 50ns,",yes,CMSHLT-406,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   25,   25,   14,   10,   7,   3,   2,   1,   1,   1,   1,,   25,   25,   14,   10,   7,   3,   2,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,0.84,±,0.1,Hz,,group: Higgs,,,,,,,,
HLT_Mu20_v2,"SMP, Muons","25ns, 50ns,",yes,CMSHLT-240,L1_SingleMu16,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,   450,   300,   200,   100,   50,   40,   30,   20,   10,   5,,0,   450,   300,   200,   100,   50,   40,   30,   20,   10,   5,,,ms,0,±,0,Hz,,ms,1.63,±,0.18,Hz,,"group: SMP, rate: PS to 1 Hz, type: control, description: prescaled non-iso trigger for iso and fake studies",,,,,,,,
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2,"Higgs, Top, SMP","25ns, 50ns,",yes,"CMSHLT-147, mod CMSHLT-331",L1_Mu20_EG10,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,4,±,0.14,Hz,,ms,1.8,±,0.22,Hz,,"group : HIG, type : signal, description : muon-electron path with isolation, designed for H->WW and H->ZZ*->2e2mu",,,,,,,,
HLT_Mu23NoFiltersNoVtx_Photon23_CaloIdL_v2,EXO (long-lived),"25ns, 50ns,",yes,CMSHLT-310,L1_Mu5_EG20,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   40,   20,   14,   10,   5,   2,   2,   1,   1,   1,   1,,   40,   20,   14,   10,   5,   2,   2,   1,   1,   1,   1,,,ms,0.47,±,0.04,Hz,,ms,0.51,±,0.13,Hz,,"Group: EXO, Rate: Prescaled to 0.1Hz, Control path of HLT_Mu38NoFiltersNoVtx_Photon38_CaloidL_v1",,,,,,,,
HLT_Mu24_eta2p1_v2,SMP,"25ns, 50ns,",yes,CMSHLT-153,L1_SingleMu20er,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   700,   350,   250,   150,   100,   50,   35,   25,   15,   10,   5,,   700,   350,   250,   150,   100,   50,   35,   25,   15,   10,   5,,,ms,1.03,±,0.07,Hz,,ms,0.83,±,0.11,Hz,,"group: SMP, rate: PS to 1 Hz, type: control, description: prescaled non-iso trigger for iso and fake studies",,,,,,,,
HLT_Mu24_TrkIsoVVL_v2,SUSY,"25ns, 50ns,",yes,CMSHLT-129,L1_SingleMu16,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   350,   250,   175,   100,   50,   36,   24,   18,   12,   6,,  1 000,   350,   250,   175,   100,   50,   36,   24,   18,   12,   6,,,ms,0.1,±,0.02,Hz,,ms,0.18,±,0.05,Hz,,group: muon,,,,,,,,
HLT_Mu24_v2,EXO,"25ns, 50ns,",yes,CMSHLT-293,L1_SingleMu16,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   490,   350,   245,   140,   70,   54,   40,   30,   18,   9,,  1 000,   490,   350,   245,   140,   70,   54,   40,   30,   18,   9,,,ms,0.35,±,0.04,Hz,,ms,0.13,±,0.04,Hz,,"group : SUSY, type : control, rate: <1 Hz, description : path for fake-ratio measurement, similar to the Mu leg of HLT_DoubleMu8_Mass8_PFHT300 and HLT_Mu8_Ele8_CaloIdM_TrkIdM_Mass8_PFHT300",,,,,,,,
HLT_Mu25_TkMu0_dEta18_Onia_v2,"BPH, SMP","25ns, 50ns,",yes,CMSHLT-82,L1_SingleMu16 OR L1_SingleMu20er OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,7.82,±,0.16,Hz,,ms,3.94,±,0.25,Hz,,group: BPH,,,,,,,,
HLT_Mu27_TkMu8_v2,"EXO, B2G (double mu)","25ns, 50ns,",yes,CMSHLT-195,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   50,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   50,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0.65,±,0.03,Hz,,ms,19.19,±,0.62,Hz,,"Group: EXO, Rate: < 1 Hz, Type: Control, Description: Path that selects one global muon and one tracker muon., For boosted dimuon topologies. This one is prescaled.",,,,,,,,
HLT_Mu27_v2,SMP,"25ns, 50ns,",yes,CMSHLT-153,L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   500,   250,   180,   120,   70,   35,   25,   18,   12,   7,   3,,   500,   250,   180,   120,   70,   35,   25,   18,   12,   7,   3,,,ms,0.97,±,0.06,Hz,,ms,0.99,±,0.12,Hz,,"group: SMP, rate: PS to 1 Hz, type: control, description: prescaled non-iso trigger for iso and fake studies",,,,,,,,
HLT_Mu28NoFiltersNoVtx_CentralCaloJet40_v2,EXO (long-lived),"25ns, 50ns,",yes,CMSHLT-310,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   600,   300,   200,   140,   80,   40,   35,   20,   15,   8,   4,,   600,   300,   200,   140,   80,   40,   35,   20,   15,   8,   4,,,ms,0.41,±,0.03,Hz,,ms,0.39,±,0.08,Hz,,None,,,,,,,,
HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose_v2,EXO (long-lived),"25ns, 50ns,",yes,CMSHLT-310,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   140,   70,   50,   35,   20,   10,   7,   5,   3,   2,   1,,   140,   70,   50,   35,   20,   10,   7,   5,   3,   2,   1,,,ms,0.6,±,0.04,Hz,,ms,0.26,±,0.06,Hz,,"Group: EXO, A path which requires one displaced muon(dxy > 0.01cm) and one loose displaced jet(at most 2 prompt jet with dxy<0.2), It is a control patt which has lower pt threshold and looset displaced requrement., Rates:0.1Hz prescaled.",,,,,,,,
HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL_v2,EXO (long-lived),"25ns, 50ns,",yes,CMSHLT-140,L1_Mu5_EG20,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,5.21,±,0.45,Hz,,ms,1.51,±,0.24,Hz,,"- group: EXO,DisplacedSUSY, - rate: 1.48 Hz( 25ns,PU40, 13TeV MC), - type: backup, - approval: https://indico.cern.ch/event/336052/contribution/4/material/slides/0.pdf, - description: MuEG HLT path for DisplacedSUSY, which is searching for muon-electron pair with large impact parameters for both leptons. Vertex constraints have been removed.",,,,,,,,
HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL_v2,"EXO, B2G","25ns, 50ns,",yes,"CMSHLT-139, CMSHLT-492",L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,4.32,±,0.12,Hz,,ms,2.16,±,0.41,Hz,,"group: EXO, rate: 5.7+/-1.6 Hz 13 TeV MC at 40bx25 (1.4E34), 0.5Hz in 8 TeV data, type: signal, control, approval: https://indico.cern.ch/event/338306/contribution/21/material/slides/0.pdf, https://indico.cern.ch/event/339419/contribution/8/material/slides/1.pdf, description: a trigger designed to select e-mu events for the Z'->ee analysis as well as having a non-isolated e-mu trigger for other exo searches. It is unseeded by EG. It should be identical to Mu40 (or whatever it ends up being) on the muon side and identical to the unseeded leg of HLT_DoubleEle33_CaloIdL_GsfTrkIdVL (with Et=30 and nr cands =1 of course).",,,,,,,,
HLT_Mu30_TkMu11_v2,"EXO (double mu), B2G","25ns, 50ns,",yes,"CMSHLT-84, mod. CMSHLT-195",L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,23.87,±,0.2,Hz,,ms,12.79,±,0.51,Hz,,"Group: EXO, Rate: 25 Hz (1.4E34, 25ns), Type: Signal, Description: Path that selects one global muon and one tracker muon., For boosted dimuon topologies.",,,,,,,,
HLT_Mu300_v1,Hotline,"25ns, 50ns,",yes,CMSHLT-312,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0.22,±,0.05,Hz,,ms,0.04,±,0.02,Hz,,"group: PPD, rate: 0.003 Hz @ 5e33, approval: https://indico.cern.ch/event/376578/contribution/2/material/slides/0.pdf, description: main muon trigger for the hotline",,,,,,,,
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose_v2,EXO (long-lived),"25ns, 50ns,",yes,CMSHLT-310,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,13.34,±,0.49,Hz,,ms,4.77,±,0.36,Hz,,"Group: EXO, A path which requires one displaced muon(dxy > 0.01cm) and one loose displaced jet(at most 2 prompt jet with dxy<0.2), Rate:2.0Hz",,,,,,,,
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight_v2,EXO (long-lived),"25ns, 50ns,",yes,CMSHLT-310,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,6.83,±,0.46,Hz,,ms,1.85,±,0.23,Hz,,"Group: EXO, A path which requires one displaced muon(dxy > 0.01cm) and one tight displaced jet(at most 1 prompt jet with dxy<0.2), Rate:5.2Hz",,,,,,,,
HLT_Mu33NoFiltersNoVtxDisplaced_Photon33_CaloIdL_v2,EXO (long-lived),"25ns, 50ns,",yes,CMSHLT-140,L1_Mu5_EG20,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,2.58,±,0.14,Hz,,ms,0.66,±,0.16,Hz,,"- group: EXO,DisplacedSUSY, - rate: 1.16 Hz( 25ns,PU40, 13TeV MC), - type: signal, - approval: https://indico.cern.ch/event/336052/contribution/4/material/slides/0.pdf, - description: MuEG HLT path for DisplacedSUSY, which is searching for muon-electron pair with large impact parameters for both leptons. Vertex constraints have been removed.",,,,,,,,
HLT_Mu34_TrkIsoVVL_v2,SUSY,"25ns, 50ns,",yes,CMSHLT-129,L1_SingleMu20,,   700,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   140,   100,   70,   40,   20,   18,   12,   8,   5,   3,,   700,   140,   100,   70,   40,   20,   18,   12,   8,   5,   3,,,ms,0.23,±,0.03,Hz,,ms,0.2,±,0.07,Hz,,group: muon,,,,,,,,
HLT_Mu34_v2,SUSY,"25ns, 50ns,",yes,CMSHLT-293,L1_SingleMu20,,   700,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   175,   125,   90,   50,   25,   18,   13,   9,   4,   2,,   700,   175,   125,   90,   50,   25,   18,   13,   9,   4,   2,,,ms,0.3,±,0.03,Hz,,ms,0.22,±,0.06,Hz,,"group : SUSY, type : control, rate: <1 Hz, description : path for fake-ratio measurement, similar to the Mu leg of HLT_DoubleMu8_Mass8_PFHT300 and HLT_Mu8_Ele8_CaloIdM_TrkIdM_Mass8_PFHT300",,,,,,,,
HLT_Mu350_v1,Hotline,"25ns, 50ns,",yes,CMSHLT-312,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,0.17,±,0.04,Hz,,ms,0.01,±,0.01,Hz,,"group: PPD, rate: < 0.003 Hz @ 5e33, approval: https://indico.cern.ch/event/376578/contribution/2/material/slides/0.pdf, description: backup muon trigger for the hotline",,,,,,,,
HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v2,EXO (long-lived),"25ns, 50ns,",yes,CMSHLT-310,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,11.57,±,0.23,Hz,,ms,4.85,±,0.37,Hz,,"Group: EXO, Control path using loos displaced jet sequence and Mu NoFiltersNoVtx sequence, Rate:0.1Hz prescaled",,,,,,,,
HLT_Mu38NoFiltersNoVtx_Photon38_CaloIdL_v2,EXO (long-lived),"25ns, 50ns,",yes,"CMSHLT-97, mod. CMSHLT-124",L1_Mu5_EG20,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,2.98,±,0.13,Hz,,ms,1.14,±,0.2,Hz,,"- group: EXO,DisplacedSUSY, - rate: 4.91 Hz( 25ns,PU20, 13TeV MC), - type: signal, - approval: https://indico.cern.ch/event/336052/contribution/4/material/slides/0.pdf, - description: MuEG HLT path for DisplacedSUSY, which is searching for muon-electron pair with large impact parameters for both leptons. Vertex constraints have been removed.",,,,,,,,
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v2,EXO (long-lived),"25ns, 50ns,",yes,CMSHLT-310,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,5.64,±,0.19,Hz,,ms,2.39,±,0.27,Hz,,"Group: EXO, Backup path which requires one displaced muon(dxy > 0.01cm) and one loose displaced jet(at most 2 prompt jet with dxy<0.2), Rate:0.7Hz",,,,,,,,
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight_v2,EXO (long-lived),"25ns, 50ns,",yes,CMSHLT-310,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,2.46,±,0.12,Hz,,ms,0.77,±,0.14,Hz,,"Group: EXO, Backup path which requires one displaced muon(dxy > 0.01cm) and one tight displaced jet(at most 1 prompt jet with dxy<0.2), Rate:1.9Hz",,,,,,,,
HLT_Mu3er_PFHT140_PFMET125_JetIdCleaned_v1,SUSY,"25ns, 50ns,",yes,"CMSHLT-152, CMSHLT-479",L1_Mu0er_ETM55,,0,0,0,0,0,0,0,0,0,0,0,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,0,0,0,0,0,0,0,0,0,0,0,,,ms,,±,,Hz,,ms,0,±,0,Hz,,group: SUSY,,,,,,,,
HLT_Mu40_eta2p1_PFJet200_PFJet50_v2,B2G,"25ns, 50ns,",yes,CMSHLT-98,L1_SingleMu16er OR L1_SingleMu20er,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,5.16,±,0.11,Hz,,ms,2.56,±,0.32,Hz,,"group: B2G, , High pt unisolated lepton trigger plus jets in a boosted regime, Expected rate: 4.28 Hz at L=1E34",,,,,,,,
HLT_Mu40_TkMu11_v2,EXO (double mu),"25ns, 50ns,",yes,CMSHLT-195,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,13.98,±,0.14,Hz,,ms,7.32,±,0.37,Hz,,"Group: EXO, Rate: 20 Hz (1.4E34, 25ns), Type: Backup, Description: Path that selects one global muon and one tracker muon., For boosted dimuon topologies. This is the backup path of HLT_Mu30_TkMu11",,,,,,,,
HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v2,EXO (long-lived),"25ns, 50ns,",yes,"CMSHLT-97, mod. CMSHLT-124",L1_Mu5_EG20,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,2.08,±,0.11,Hz,,ms,1,±,0.2,Hz,,"- group: EXO,DisplacedSUSY, - rate: 3.47 Hz( 25ns,PU20, 13TeV MC), - type: backup, - approval: https://indico.cern.ch/event/336052/contribution/4/material/slides/0.pdf, - description: MuEG HLT path for DisplacedSUSY, which is searching for muon-electron pair with large impact parameters for both leptons. Vertex constraints have been removed.",,,,,,,,
HLT_Mu45_eta2p1_v2,"EXO, B2G","25ns, 50ns,",yes,"CMSHLT-194, CMSHLT-492",L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,67.91,±,2.91,Hz,,ms,32.88,±,0.87,Hz,,"group: EXO, SMP, muon, rate: 15% higher than Mu40_eta2p1, type: signal, description: extension of Mu40_eta2p1 up to full eta range",,,,,,,,
HLT_Mu50_v2,"EXO, B2G","25ns, 50ns, PIon,",yes,"CMSHLT-64, mod. CMSHLT-86, CMSHLT-162, CMSHLT-194, CMSHLT-492",L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,47.57,±,2.9,Hz,,ms,22.58,±,0.75,Hz,,"group: EXO, SMP, muon, rate: 15% higher than Mu40_eta2p1, type: signal, description: extension of Mu40_eta2p1 up to full eta range",,,,,,,,
HLT_Mu55_v1,EXO,"25ns, 50ns",yes,CMSHLT-490,L1_SingleMu16 OR L1_SingleMu25,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,,±,,Hz,,"group: EXO, SMP, muon, rate: 15% higher than Mu40_eta2p1, type: signal, description: extension of Mu40_eta2p1 up to full eta range",,,,,,,,
HLT_Mu6_PFHT200_PFMET100_JetIdCleaned_v1,Jets/MET,"25ns, 50ns,",yes,"CMSHLT-152, mod CMSHLT-356, CMSHLT-479",L1_Mu6_HTT150,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,2.72,±,0.47,Hz,,"group : JME, rate : ~4Hz at 1.4e34, type : signal",,,,,,,,
HLT_Mu6_PFHT200_PFMET80_JetIdCleaned_BTagCSV0p72_v1,SUSY,"25ns, 50ns,",yes,"CMSHLT-152, mod CMSHLT-356, CMSHLT-405, CMSHLT-479",L1_Mu6_HTT150,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,3.4,±,0.37,Hz,,"group: SUSY, Expected rate < 10 Hz,",,,,,,,,
HLT_Mu7p5_L2Mu2_Jpsi_v2,BPH,"25ns, 50ns,",yes,CMSHLT-145,L1_DoubleMu0,,   300,   150,   100,   70,   40,   20,   14,   5,   2,   2,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   300,   150,   100,   70,   40,   20,   14,   5,   2,   2,   1,,,ms,1.07,±,0.12,Hz,,ms,0.76,±,0.1,Hz,,"group: BPH, rate: prescaled to few Hertz, type: TnP, description: Mu + L2Muon for track TnP efficiencies",,,,,,,,
HLT_Mu7p5_L2Mu2_Upsilon_v2,BPH,"25ns, 50ns,",yes,CMSHLT-145,L1_DoubleMu0,,   300,   150,   100,   70,   40,   20,   14,   5,   2,   2,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   300,   150,   100,   70,   40,   20,   14,   5,   2,   2,   1,,,ms,1.42,±,0.42,Hz,,ms,0.86,±,0.11,Hz,,"group: BPH, rate: prescaled to few Hertz, type: TnP, description: Mu + L2Muon for track TnP efficiencies",,,,,,,,
HLT_Mu7p5_Track2_Jpsi_v2,BPH,"25ns, 50ns,",yes,CMSHLT-145,L1_SingleMu5 OR L1_SingleMu7,,   250,   125,   100,   75,   40,   20,   10,   5,   3,   2,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   250,   125,   100,   75,   40,   20,   10,   5,   3,   2,   1,,,ms,1.01,±,0.11,Hz,,ms,1.01,±,0.12,Hz,,"group: BPH, rate: prescaled to few Hertz, type: TnP, description: Mu + Track for muon TnP efficiencies",,,,,,,,
