25ns master table: /dev/CMSSW_7_4_0/HLT/V361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lien Steam Gdoc,,,,,,Lien Steam Gdoc,,,,,,,,,,,,
,,,,,,,L1 prescales,,,,,,,,,,,,HLT prescales,,,,,,,,,,,,Total prescale,,,,,,,,,,,,,,,/frozen/2015/25ns14e33/v3.0/HLT/V1 ,,,,,,/dev/CMSSW_7_4_0/GRun/V106,,,,,,,,,,,,
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v2,B2G,"25ns, 50ns,",yes,"CMSHLT-121, mod. CMSHLT-179, CMSHLT-204",L1_HTT150 OR L1_HTT175,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,42.26,±,0.45,Hz,,ms,19.47,±,0.52,Hz,,"Group: B2G, Rate: 42Hz total for PU40bx25 (11 Hz exclusive), Type: Signal, Approval presentation: September 18 https://indico.cern.ch/event/338608/contribution/3/material/slides/0.pdf, Anchor Table: /dev/CMSSW_7_2_1/HLT/V116, Description: Minimum requirement for AK8 jets for HT calculation: pt > 150 GeV and | eta | < 2.5. Then, AK8PFHT at 850 GeV with an additional selection in the leading jet trimmed mass of 50 GeV. Trimming parameters are shown in the name: rFilt = 0.1 and ptFrac = 0.03.",,,,,,,,
HLT_AK8PFJet360_TrimMass30_v2,B2G,"25ns, 50ns,",yes,"CMSHLT-101, mod. CMSHLT-204, CMSHLT-274",L1_SingleJet176 OR L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,40.97,±,7.05,Hz,,ms,13.01,±,2.74,Hz,,Group: B2G,,,,,,,,
HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV0p45_v1,B2G,25ns,no,CMSHLT-502,L1_HTT150 OR L1_HTT175,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,,,,,,,,,,,,,"Group: B2G, Rate: 42Hz total for PU40bx25 (11 Hz exclusive), Type: Signal, Approval presentation: September 18 https://indico.cern.ch/event/338608/contribution/3/material/slides/0.pdf, Anchor Table: /dev/CMSSW_7_2_1/HLT/V116, Description: Minimum requirement for AK8 jets for HT calculation: pt > 150 GeV and | eta | < 2.5. Then, AK8PFHT at 850 GeV with an additional selection in the leading jet trimmed mass of 50 GeV. Trimming parameters are shown in the name: rFilt = 0.1 and ptFrac = 0.03.",,,,,,,,
HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v1,B2G,25ns,no,CMSHLT-502,L1_HTT150 OR L1_HTT175,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,,,,,,,,,,,,,"Group: B2G, Rate: 42Hz total for PU40bx25 (11 Hz exclusive), Type: Signal, Approval presentation: September 18 https://indico.cern.ch/event/338608/contribution/3/material/slides/0.pdf, Anchor Table: /dev/CMSSW_7_2_1/HLT/V116, Description: Minimum requirement for AK8 jets for HT calculation: pt > 150 GeV and | eta | < 2.5. Then, AK8PFHT at 850 GeV with an additional selection in the leading jet trimmed mass of 50 GeV. Trimming parameters are shown in the name: rFilt = 0.1 and ptFrac = 0.03.",,,,,,,,
HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV0p45_v1,B2G,25ns,no,CMSHLT-502,L1_SingleJet176 OR L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,,,,,,,,,,,,,"group: B2G PAG, rate: 29 Hz at L=1.4E34 (PU40bx25), type: signal, description: developed for boosted dijet signals, specifically single production VLQ (e.x. T'->bW)",,,,,,,,
HLT_BTagMu_DiJet110_Mu5_v2,BTV,"25ns, 50ns,",yes,CMSHLT-144,L1_Mu3_JetC52_WdEtaPhi2,,   40,   10,   7,   5,   3,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   40,   10,   7,   5,   3,   1,   1,   1,   1,   1,   1,,,ms,4.61,±,1.01,Hz,,ms,8.04,±,0.65,Hz,,"Group: BTV, Rate:  0.5 Hz, Type:  Signal Trigger, Description: Needed to create an enriched sample in b-jets in order to perform b-tagging efficiency measurements",,,,,,,,
HLT_BTagMu_DiJet20_Mu5_v2,BTV,"25ns, 50ns,",yes,"CMSHLT-144, CMSHLT-363",L1_Mu3_JetC16_WdEtaPhi2,,   400,   200,   150,   100,   50,   25,   20,   15,   10,   5,   1,,   2,   2,   2,   1,   1,   1,   1,   1,   1,   1,   1,,   800,   400,   300,   100,   50,   25,   20,   15,   10,   5,   1,,,ms,11.84,±,0.65,Hz,,ms,10.18,±,0.58,Hz,,"Group: BTV, Rate:  14 Hz, Type:  Signal Trigger, Description: Needed to create an enriched sample in b-jets in order to perform b-tagging efficiency measurements",,,,,,,,
HLT_BTagMu_DiJet40_Mu5_v2,BTV,"25ns, 50ns,",yes,CMSHLT-144,L1_Mu3_JetC16_WdEtaPhi2,,   400,   200,   150,   100,   50,   25,   20,   15,   10,   5,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   400,   200,   150,   100,   50,   25,   20,   15,   10,   5,   1,,,ms,9.91,±,0.28,Hz,,ms,8.48,±,0.65,Hz,,"Group: BTV, Rate:  10 Hz, Type:  Signal Trigger, Description: Needed to create an enriched sample in b-jets in order to perform b-tagging efficiency measurements",,,,,,,,
HLT_BTagMu_DiJet70_Mu5_v2,BTV,"25ns, 50ns,",yes,"CMSHLT-144, CMSHLT-363",L1_Mu3_JetC52_WdEtaPhi2,,   40,   10,   7,   5,   3,   1,   1,   1,   1,   1,   1,,   4,   4,   3,   3,   1,   1,   1,   1,   1,   1,   1,,   160,   40,   21,   15,   3,   1,   1,   1,   1,   1,   1,,,ms,5.2,±,0.17,Hz,,ms,8.53,±,0.53,Hz,,"Group: BTV, Rate:  2 Hz, Type:  Signal Trigger, Description: Needed to create an enriched sample in b-jets in order to perform b-tagging efficiency measurements",,,,,,,,
HLT_BTagMu_Jet300_Mu5_v2,BTV,"25ns, 50ns,",yes,CMSHLT-144,L1_SingleJet200,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,7.48,±,0.09,Hz,,ms,3.18,±,0.2,Hz,,"Group: BTV, Rate:  2 Hz, Type:  Signal Trigger, Description: Needed to create an enriched sample in b-jets in order to perform b-tagging efficiency measurements",,,,,,,,
